"Time (ISO-YMD)","Azimuth (deg)","Elevation (deg)","Range (km)"
2022-12-21T16:48:10.509,24.816,0.000,2354.695764
2022-12-21T16:49:10.000,31.063,3.608,1984.688010
2022-12-21T16:50:10.000,40.089,7.748,1641.668084
2022-12-21T16:51:10.000,53.544,12.262,1354.370034
2022-12-21T16:52:10.000,73.163,16.098,1166.661987
2022-12-21T16:53:10.000,97.359,16.901,1130.495509
2022-12-21T16:54:10.000,119.457,13.928,1259.317936
2022-12-21T16:55:10.000,135.356,9.405,1511.186923
2022-12-21T16:56:10.000,145.975,5.012,1835.383571
2022-12-21T16:57:10.000,153.214,1.139,2199.120631
2022-12-21T16:57:29.252,155.053,0.000,2321.010529
2022-12-21T18:19:53.464,12.510,0.000,2355.976502
2022-12-21T18:20:53.000,11.154,4.255,1927.551400
2022-12-21T18:21:53.000,8.827,9.852,1500.730752
2022-12-21T18:22:53.000,4.284,18.184,1087.920834
2022-12-21T18:23:53.000,352.709,33.006,717.419388
2022-12-21T18:24:53.000,304.693,55.375,498.767416
2022-12-21T18:25:53.000,235.073,39.801,622.198106
2022-12-21T18:26:53.000,218.023,21.573,963.947758
2022-12-21T18:27:53.000,212.152,11.766,1368.386376
2022-12-21T18:28:53.000,209.303,5.522,1792.376916
2022-12-21T18:29:53.000,207.662,0.909,2223.364840
2022-12-21T18:30:06.582,207.385,0.000,2321.324218
2022-12-21T19:52:09.047,2.859,0.000,2356.380422
2022-12-21T19:53:09.000,354.902,3.167,2028.370810
2022-12-21T19:54:09.000,344.004,6.330,1751.965824
2022-12-21T19:55:09.000,329.504,8.975,1556.903299
2022-12-21T19:56:09.000,311.997,10.178,1476.787886
2022-12-21T19:57:09.000,294.153,9.302,1530.111599
2022-12-21T19:58:09.000,278.928,6.809,1704.119679
2022-12-21T19:59:09.000,267.323,3.656,1966.310843
2022-12-21T20:00:09.000,258.816,0.444,2285.501568
2022-12-21T20:00:17.485,257.812,0.000,2333.867576
2022-12-21T21:25:20.976,346.186,0.000,2355.874203
2022-12-21T21:26:20.000,335.064,0.583,2290.400126
2022-12-21T21:27:20.000,323.516,0.400,2308.473088
2022-12-21T21:27:51.358,317.669,0.000,2351.543044
2022-12-22T01:53:01.244,77.443,0.000,2341.804027
2022-12-22T01:54:01.000,67.365,2.211,2111.572839
2022-12-22T01:55:01.000,55.140,3.878,1955.465111
2022-12-22T01:56:01.000,41.422,4.593,1894.104610
2022-12-22T01:57:01.000,27.561,4.136,1936.869530
2022-12-22T01:58:01.000,14.994,2.656,2077.200839
2022-12-22T01:59:01.000,4.491,0.540,2296.742644
2022-12-22T01:59:14.847,2.374,0.000,2356.393225
2022-12-22T03:22:09.049,129.658,0.000,2325.935042
2022-12-22T03:23:09.000,124.789,4.016,1925.692101
2022-12-22T03:24:09.000,117.263,8.886,1548.081211
2022-12-22T03:25:09.000,104.784,14.852,1217.631565
2022-12-22T03:26:09.000,83.566,21.024,985.346750
2022-12-22T03:27:09.000,53.602,22.995,929.458654
2022-12-22T03:28:09.000,26.939,18.431,1078.031836
2022-12-22T03:29:09.000,10.317,12.126,1365.405248
2022-12-22T03:30:09.000,0.571,6.712,1722.543842
2022-12-22T03:31:09.000,354.520,2.297,2113.162390
2022-12-22T03:31:45.011,351.929,0.000,2356.219480
2022-12-22T04:53:35.459,180.082,0.000,2319.291421
2022-12-22T04:54:35.000,182.935,4.244,1899.116186
2022-12-22T04:55:35.000,187.390,9.775,1484.613285
2022-12-22T04:56:35.000,195.363,17.743,1092.163313
2022-12-22T04:57:35.000,213.110,30.228,759.824828
2022-12-22T04:58:35.000,257.901,41.913,600.189831
2022-12-22T04:59:35.000,305.527,31.792,736.381386
2022-12-22T05:00:35.000,324.904,18.931,1059.395345
2022-12-22T05:01:35.000,333.430,10.680,1448.259133
2022-12-22T05:02:35.000,338.138,5.006,1860.879801
2022-12-22T05:03:35.000,341.165,0.658,2282.974488
2022-12-22T05:03:45.235,341.581,0.000,2355.432194
2022-12-22T06:27:57.843,238.857,0.000,2328.200326
2022-12-22T06:28:57.000,248.662,2.349,2085.534858
2022-12-22T06:29:57.000,260.828,4.304,1906.255737
2022-12-22T06:30:57.000,274.862,5.409,1814.968100
2022-12-22T06:31:57.000,289.546,5.328,1825.185258
2022-12-22T06:32:57.000,303.289,4.099,1935.102660
2022-12-22T06:33:57.000,315.035,2.094,2128.755379
2022-12-22T06:34:50.054,323.570,0.000,2352.755187

